Cdigo,1,2,3,4,5,6,7,8,9,10,11,12,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2753013,"161,463334","197,446666","136,856667","170,570001","169,226668","162,483333","144,203333","127,823333","169,820001","232,793334","158,863333","168,230001","1999,780004","527,140001","476,653336","441,846668","561,476668","7011309,72","248738,46",567
2753014,"152,180001","163,210001","131,42","163,86","165,876666","153,75","164,62","128,386666","167,626665","224,856668","162,593333","162,123333","1940,503333","477,513335","461,156666","460,633331","555,076666","6945568,54","295614,821",384
2753016,"155,74","156,463333","127,676668","155,134481","164,610345","140,096551","149,786208","117,744829","160,056667","229,560002","151,986666","160,79","1869,64575","472,993333","447,421494","427,587704","541,603335","6955122,86","235045,168",497
2848006,"209,610002","228,030002","163,75862","99,431034","109,462069","85,513794","118,303448","100,934483","130,346666","139,953333","127,866666","170,531034","1683,741151","608,171038","372,651723","349,584597","398,166665","6889435,75","704475,834",188
2848007,"150,762068","144,831035","122,663333","97,934483","96,85862","80,872414","108,675","99,65","134,114285","125,458621","133,430001","125,326666","1420,576526","420,919769","317,456436","342,439285","393,002907","6869503,87","725369,323",12
2849000,"171,836667","186,662069","128,364285","90,193103","85,821429","74,65","101,921429","96,382758","125,186667","138,876667","117,98","144,176667","1462,051742","502,675403","304,378817","323,490854","382,043334","6854862,39","685451,453",22
2849001,"208,873335","199,953333","144,186666","86,686667","95,113334","72,483333","103,293333","91,763333","114,679999","136,489999","120,54","149,586667","1523,649998","558,413335","325,986667","309,736665","371,709998","6861848,31","667096,126",99
2849002,"188,030001","211,116667","131,158621","82,993104","99,555172","70,506896","101,282759","93,531034","113,124137","120,46207","122,703333","149,236665","1483,700459","548,383333","313,706897","307,93793","356,28954","6865345,27","678505,49",50
2849004,"150,579999","156,106897","140,696668","94,323333","101,303333","92,726667","113,024138","112,744828","124,299999","133,196552","118,393334","129,356666","1466,752414","436,043562","336,323334","350,068965","375,889885","6795813,8","636287,638",5
2849005,"187,486666","201,04","144,351726","99,436667","100,872414","90,393104","103,4","122,841378","122,62069","139,737931","143,941378","153,872414","1609,994367","542,39908","344,660807","348,862067","406,299999","6809827,91","633010,362",35
2849008,"219,646668","222,04","144,866666","92,28","96,806666","73,93","103,623333","90,593333","115,663332","124,543333","129,436667","162,703333","1576,133331","604,390001","333,953332","309,879999","369,643332","6878265,68","677145,473",89
2849009,"154,693334","150,868964","115,924138","89,417241","101,910345","96,048276","129,579311","107,696428","129,082757","146,653572","114,37931","138,027587","1474,281263","443,589885","307,251724","366,358497","390,115639","6865083,54","635600,451",1286
